"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"First and last name in modal are equals to the submitted ones","10274","FR-03: Student name displayed correctly in modal","","Mon May 18 10:07:41 UTC 2026","passed","Mon May 18 10:07:51 UTC 2026","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","studentNameIsDisplayedCorrectlyInModal"
"User is prevented from submitting an empty form","11578","FR-02: Required field validation prevents form submission","","Mon May 18 10:07:55 UTC 2026","passed","Mon May 18 10:08:07 UTC 2026","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","submittingEmptyFormDoesNotOpenSuccessModal"
"User is prevented from submitting an empty form","2117","FR-04: Email displayed correctly in modal","","Mon May 18 10:07:51 UTC 2026","passed","Mon May 18 10:07:53 UTC 2026","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","studentEmailIsDisplayedCorrectlyInModal"
"Fill all required fields and verify success modal appears","2106","FR-01: Successful form submission shows confirmation modal","","Mon May 18 10:07:53 UTC 2026","passed","Mon May 18 10:07:55 UTC 2026","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","shouldShowSuccessModalAfterValidSubmission"
