"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"First and last name in modal are equals to the submitted ones","2158","FR-03: Student name displayed correctly in modal","","2026-07-30","passed","2026-07-30","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","studentNameIsDisplayedCorrectlyInModal"
"Fill all fields and verify output panel is displayed with correct data","2065","FR-05: Successful form submission displays output panel","","2026-07-30","failed","2026-07-30","","tests.forms.TextBoxTest","tests.forms.TextBoxTest","shouldDisplayOutputPanelAfterFormSubmission"
"Fill all required fields and verify success modal appears","2068","FR-01: Successful form submission shows confirmation modal","","2026-07-30","passed","2026-07-30","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","shouldShowSuccessModalAfterValidSubmission"
"Check that output panel is not visible before form submission","13196","FR-06: Output panel is not visible before submission","","2026-07-30","passed","2026-07-30","","tests.forms.TextBoxTest","tests.forms.TextBoxTest","outputPanelIsNOTVisibleBeforeSubmission"
"User is prevented from submitting an empty form","11682","FR-02: Required field validation prevents form submission","","2026-07-30","passed","2026-07-30","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","submittingEmptyFormDoesNotOpenSuccessModal"
"User is prevented from submitting an empty form","2221","FR-04: Email displayed correctly in modal","","2026-07-30","passed","2026-07-30","","tests.forms.PracticeFormTest","tests.forms.PracticeFormTest","studentEmailIsDisplayedCorrectlyInModal"
